Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-MAR-2013,5722.45,5790.1,5722.4,5784.25,154406134,6321.31
06-MAR-2013,5816.4,5828.7,5795.05,5818.6,156901392,6244.47
07-MAR-2013,5801.3,5878,5801.3,5863.3,134679762,5676.89
08-MAR-2013,5883.65,5952.85,5883,5945.7,150781148,6214.19
11-MAR-2013,5946.1,5971.2,5930.35,5942.35,125384918,5688.38
12-MAR-2013,5944.6,5952,5893.65,5914.1,115944389,5098.38
13-MAR-2013,5884.8,5893.85,5842.25,5851.2,116710808,4950.09
14-MAR-2013,5845.95,5920.15,5791.75,5908.95,149008437,7204.09
15-MAR-2013,5914.9,5945.65,5861,5872.6,152156666,6984.19
18-MAR-2013,5816.75,5850.2,5814.35,5835.25,102663402,4690.01
19-MAR-2013,5859.5,5863.6,5724.3,5745.95,182311867,8255.03
20-MAR-2013,5740.55,5745.3,5682.3,5694.4,187624850,7103.68
21-MAR-2013,5705.9,5757.75,5647.95,5658.75,179177573,7053.93
22-MAR-2013,5659.8,5691.45,5631.8,5651.35,165293291,5909.38
25-MAR-2013,5707.3,5718.4,5624.4,5633.85,150388821,5683.44
26-MAR-2013,5613.75,5655.3,5612.05,5641.6,126500524,4939.19
28-MAR-2013,5647.75,5692.95,5604.85,5682.55,209658945,8372.35
01-APR-2013,5697.35,5720.95,5675.9,5704.4,97779717,3683.38
02-APR-2013,5701.7,5754.6,5687.15,5748.1,106423845,4262.15
03-APR-2013,5740.2,5744.95,5650.1,5672.9,140713330,5313.95
04-APR-2013,5640.65,5644.45,5565.65,5574.75,134586976,5000.44
05-APR-2013,5568.1,5577.3,5534.7,5553.25,137461477,5281.57
08-APR-2013,5550.5,5569.2,5537.05,5542.95,97021471,3673.21
09-APR-2013,5568.75,5603.05,5487,5495.1,138184712,5485.91
10-APR-2013,5536.25,5569.25,5477.2,5558.7,128558760,5387.08
11-APR-2013,5601.65,5610.65,5542.85,5594,146828501,6469.38
12-APR-2013,5520.7,5544.5,5494.9,5528.55,127323273,7447.27
15-APR-2013,5508.5,5592.85,5500.3,5568.4,142918219,7133.92
16-APR-2013,5562.45,5699.25,5555.85,5688.95,142679244,5943.06
17-APR-2013,5708.65,5732.15,5669,5688.7,154575403,7304.1
18-APR-2013,5682.7,5794.35,5681.85,5783.1,149883469,6588.7
22-APR-2013,5789.85,5844.85,5789.8,5834.4,135095797,6073.25
23-APR-2013,5843.1,5844.3,5791.55,5836.9,132218357,5366.87
25-APR-2013,5856.1,5924.6,5853.3,5916.3,199597725,9211.66
26-APR-2013,5899.75,5907.05,5860.5,5871.45,141311877,6840.01
29-APR-2013,5877.6,5918.65,5868.8,5904.1,118882089,5364.86
30-APR-2013,5932.6,5962.3,5867.8,5930.2,153186197,6699.02
02-MAY-2013,5911.4,6019.45,5910.95,5999.35,162376438,7277.43
03-MAY-2013,5993.5,6000.3,5930.15,5944,145754275,6590.91
06-MAY-2013,5944.9,5976.5,5928.45,5971.05,110166713,4612.49
07-MAY-2013,5983.45,6050.5,5982.95,6043.55,136372981,5572.16
08-MAY-2013,6064.15,6083.55,6024.95,6069.3,122278698,5159.97
09-MAY-2013,6078.35,6084.7,6040.45,6050.15,109997276,5164.76
10-MAY-2013,6046.25,6105.3,6045.6,6094.75,111351573,5162.22
11-MAY-2013,6088.2,6114.55,6084.15,6107.25,7991165,355.74
13-MAY-2013,6098.2,6104.95,5972.9,5980.45,107948706,4633.05
14-MAY-2013,5989.7,6026.2,5970.05,5995.4,119265483,4921.65
15-MAY-2013,6018.85,6157.1,6018.85,6146.75,153892843,7240.73
16-MAY-2013,6128.25,6187.3,6128.25,6169.9,158635506,6733.31
17-MAY-2013,6172.95,6199.95,6146.15,6187.3,147280254,5870.44
20-MAY-2013,6198,6229.45,6146.05,6156.9,122252978,5589.97
21-MAY-2013,6152.35,6180.25,6102.35,6114.1,130589228,5122.71
22-MAY-2013,6127.05,6147.6,6074.45,6094.5,133763685,5837.19
23-MAY-2013,6050.4,6081.45,5955.7,5967.05,198930489,8230.1
24-MAY-2013,6010.7,6015.3,5936.8,5983.55,161622562,6193
27-MAY-2013,5989.4,6099.9,5975.55,6083.15,115115365,4961.15
28-MAY-2013,6086.35,6127.65,6055.4,6111.25,139668916,5481.14
29-MAY-2013,6120.45,6125.05,6069.8,6104.3,120205054,5135.8
30-MAY-2013,6072.15,6133.75,6072.15,6124.05,194092801,7794.82
31-MAY-2013,6098.7,6106.25,5975.55,5985.95,175311989,7223.11
03-JUN-2013,5997.35,6011,5916.35,5939.3,112123535,5702.24
04-JUN-2013,5941.1,5981.6,5910.25,5919.45,114450873,4990.51
05-JUN-2013,5908.3,5935.2,5883.7,5923.85,110223279,4691.39
06-JUN-2013,5895,5956.55,5869.5,5921.4,114174694,4961.54
07-JUN-2013,5900.05,5972.7,5871.3,5881,118346364,4888.65
10-JUN-2013,5907.9,5931.65,5857.4,5878,100130739,4304.75
11-JUN-2013,5848.75,5868.05,5780.35,5788.8,180902123,6695.57
12-JUN-2013,5771.75,5792.9,5738.6,5760.2,140394424,5894.04
13-JUN-2013,5709.35,5729.85,5683.1,5699.1,142041404,5462.45
14-JUN-2013,5748.95,5819.4,5739.4,5808.4,124410018,5121.33
17-JUN-2013,5820.4,5854.9,5770.25,5850.05,107160887,4560.84
18-JUN-2013,5841.9,5863.4,5804.3,5813.6,117541145,4591.91
19-JUN-2013,5805.75,5828.4,5777.9,5822.25,115539008,4643.17
20-JUN-2013,5754.15,5755,5645.65,5655.9,198400131,7148
21-JUN-2013,5639.9,5686.15,5616.85,5667.65,182410583,6697.18
24-JUN-2013,5638.05,5640,5566.25,5590.25,193488581,6308.88
25-JUN-2013,5606.95,5666.25,5570.25,5609.1,196571543,6792.49
26-JUN-2013,5627.95,5635.25,5579.35,5588.7,160095940,5939.3
27-JUN-2013,5647.95,5699.35,5630.95,5682.35,239029425,9184.29
28-JUN-2013,5749.5,5852.95,5749.5,5842.2,214402430,8753.33
01-JUL-2013,5834.1,5904.35,5822.2,5898.85,144794030,5405.72
02-JUL-2013,5885.5,5898.8,5852.3,5857.55,145721790,5163.09
03-JUL-2013,5811.95,5815,5760.4,5770.9,160523863,5219.24
04-JUL-2013,5794.75,5848.2,5786.05,5836.95,151929179,5429.87
05-JUL-2013,5889.95,5900.45,5858.45,5867.9,123586417,4303.93
08-JUL-2013,5833.15,5833.85,5775.55,5811.55,127624733,4823.52
09-JUL-2013,5834.6,5864.95,5834.6,5859,110427867,4661.55
10-JUL-2013,5869.9,5879.35,5802.85,5816.7,117516350,4820.53
11-JUL-2013,5894.5,5948.85,5887.95,5935.1,120195681,4882.29
12-JUL-2013,6000.5,6019,5951.15,6009,127707078,6591.27
15-JUL-2013,5991.2,6038.2,5980.95,6030.8,116275729,4641.97
16-JUL-2013,5930.8,5966.05,5910.95,5955.25,151162819,5915.8
17-JUL-2013,5972.25,5989.8,5926.75,5973.3,191516153,8349.59
18-JUL-2013,5984.7,6051.1,5974.55,6038.05,171728134,7774.83
19-JUL-2013,6057.2,6066.85,6020.25,6029.2,163311714,7987.75
22-JUL-2013,6009.75,6064.15,6004.25,6031.8,115168337,5117.19
23-JUL-2013,6064.3,6093.35,6061.3,6077.8,126469251,5459.62
24-JUL-2013,6032.2,6047.25,5962.6,5990.5,151931749,6413.64
25-JUL-2013,5970.4,5990.65,5896.4,5907.5,237081135,8762.77
26-JUL-2013,5937.95,5944.5,5869.5,5886.2,174535664,6419.86
29-JUL-2013,5869.95,5886,5825.8,5831.65,173430612,4812.3
30-JUL-2013,5836.05,5861.3,5747.6,5755.05,181489174,6006.91
31-JUL-2013,5738.35,5752.1,5675.75,5742,235469131,8717.16
01-AUG-2013,5776.9,5808.5,5676.85,5727.85,216762208,7164.04
02-AUG-2013,5750.05,5761.85,5649,5677.9,222494469,6350.26
05-AUG-2013,5682.4,5721,5661.5,5685.4,197167952,5575.21
06-AUG-2013,5664.9,5664.9,5521.8,5542.25,216227972,6424.42
07-AUG-2013,5549.3,5561.45,5486.85,5519.1,245010773,7725.23
08-AUG-2013,5510.05,5577.6,5510.05,5565.65,204918722,6968.85
12-AUG-2013,5606.7,5644.1,5557.1,5612.4,195708484,7063.92
13-AUG-2013,5600.25,5704.75,5578.9,5699.3,222997337,7073.34
14-AUG-2013,5715.4,5754.55,5690.2,5742.3,223656483,6970.2
16-AUG-2013,5705.45,5716.6,5496.05,5507.85,248094094,8807.27
19-AUG-2013,5497.55,5499.65,5360.65,5414.75,219672819,6713.03
20-AUG-2013,5353.45,5417.8,5306.35,5401.45,261052792,7982.22
21-AUG-2013,5494.45,5504.1,5268.45,5302.55,255004311,8509.29
22-AUG-2013,5282.8,5418.95,5254.05,5408.45,284468531,9075.86
23-AUG-2013,5428.75,5478.8,5377.8,5471.75,251511910,7763.2
26-AUG-2013,5499.4,5528.7,5454.45,5476.5,241996358,6465.02
27-AUG-2013,5426.5,5427.4,5274.25,5287.45,306037010,8236.84
28-AUG-2013,5233.45,5317.7,5118.85,5285,335993745,10705.51
29-AUG-2013,5316.5,5428.9,5303,5409.05,326499273,10580.48
30-AUG-2013,5407.45,5493.3,5360.2,5471.8,336401705,11431.52
02-SEP-2013,5480.25,5564.9,5478.85,5550.75,214232444,6135.94
03-SEP-2013,5574.7,5580.95,5323.75,5341.45,250298844,7304.81
04-SEP-2013,5358.65,5460.25,5318.9,5448.1,237230494,7252.61
05-SEP-2013,5553.75,5625.75,5552.7,5592.95,274937515,9484.19
06-SEP-2013,5617.45,5688.6,5566.15,5680.4,253030740,8821.54
10-SEP-2013,5738.5,5904.85,5738.2,5896.75,275244175,10307.97
11-SEP-2013,5887.25,5924.35,5832.7,5913.15,265006808,7980.51
12-SEP-2013,5931.15,5932,5815.8,5850.7,272987246,7667.76
13-SEP-2013,5828,5884.3,5822.9,5850.6,190768447,6403.37
16-SEP-2013,5930.3,5957.25,5798.15,5840.55,219455842,7819.05
17-SEP-2013,5824.2,5857.8,5804.9,5850.2,157938740,5550.64
18-SEP-2013,5872.75,5916.9,5840.2,5899.45,153585493,5369.63
19-SEP-2013,6044.15,6142.5,6040.15,6115.55,287191701,11291.28
20-SEP-2013,6104.55,6130.95,5932.85,6012.1,318645265,11587.18
23-SEP-2013,5945.8,5989.4,5871.4,5889.75,188322506,6596.17
24-SEP-2013,5855,5938.4,5854.55,5892.45,187578148,7002.84
25-SEP-2013,5901.55,5910.55,5811.1,5873.85,200162195,6988.96
26-SEP-2013,5872.8,5917.65,5864.1,5882.25,220589737,7761.99
27-SEP-2013,5905.55,5909.2,5819.3,5833.2,163067913,5303.31
30-SEP-2013,5801.05,5810.2,5718.5,5735.3,155674706,5642.77
01-OCT-2013,5756.1,5786.45,5700.95,5780.05,159247089,5075.7
03-OCT-2013,5819.1,5917.6,5802.7,5909.7,199793235,7481.97
04-OCT-2013,5891.3,5950.45,5885,5907.3,191469248,6052.47
07-OCT-2013,5889.05,5912,5825.85,5906.15,156387945,5348.49
08-OCT-2013,5975,5981.7,5913,5928.4,158527593,5950.47
09-OCT-2013,5893.25,6015.5,5877.1,6007.45,192037125,6904.96
10-OCT-2013,6001.05,6033.95,5979.8,6020.95,159607329,6163.68
11-OCT-2013,6104.85,6107.6,6046.4,6096.2,180834257,8283.09
14-OCT-2013,6093,6124.1,6082.9,6112.7,142173640,5989.37
15-OCT-2013,6147.55,6156.3,6056.55,6089.05,218304334,6745.02
17-OCT-2013,6098.5,6110.75,6032.55,6045.85,230561463,8158.31
18-OCT-2013,6070.9,6201.45,6070.9,6189.35,250339955,8353.23
21-OCT-2013,6202,6218.95,6163.3,6204.95,196989071,7341.25
22-OCT-2013,6192.3,6220.1,6181.8,6202.8,161943721,5850.72
23-OCT-2013,6209.55,6217.95,6116.6,6178.35,188285223,6921.65
24-OCT-2013,6162.8,6252.45,6142.95,6164.35,176235553,6737.2
25-OCT-2013,6154,6174.75,6125.95,6144.9,144531462,5582.82
28-OCT-2013,6155.1,6168.75,6094.1,6101.1,146340691,5282.79
29-OCT-2013,6107.55,6228.05,6079.2,6220.9,197348371,7572.87
30-OCT-2013,6230.8,6269.2,6222.6,6251.7,177583848,6861.84
31-OCT-2013,6237.15,6309.05,6235.9,6299.15,239607127,9560.54
01-NOV-2013,6289.75,6332.6,6286.95,6307.2,191639789,7371.92
03-NOV-2013,6332.05,6342.95,6311.15,6317.35,23856924,858.24
05-NOV-2013,6282.15,6304.75,6244.3,6253.15,181053761,6598.06
06-NOV-2013,6260.55,6269.7,6208.7,6215.15,157080263,5461.18
07-NOV-2013,6228.9,6288.95,6180.8,6187.25,168832431,6274.13
08-NOV-2013,6170.15,6185.15,6120.95,6140.75,150051986,5977.34
11-NOV-2013,6110.4,6141.65,6067.75,6078.8,146060450,5678.81
12-NOV-2013,6087.25,6108.7,6011.75,6018.05,153812590,5646.24
13-NOV-2013,5998.85,6042.25,5972.45,5989.6,162538228,6738.41
14-NOV-2013,6037,6101.65,6036.65,6056.15,154913925,5872.61
18-NOV-2013,6111.05,6196.8,6110.4,6189,163991212,6279.02
19-NOV-2013,6197.25,6212.4,6180.2,6203.35,161514064,6020.17
20-NOV-2013,6186.85,6204.35,6106.95,6122.9,155794838,5493.72
21-NOV-2013,6096.5,6097.35,5985.4,5999.05,137232011,5457.87
22-NOV-2013,6027.35,6049.6,5972.8,5995.45,134755917,4804.74
25-NOV-2013,6035.95,6123.5,6035.95,6115.35,127195086,5113.81
26-NOV-2013,6099.25,6112.7,6047.75,6059.1,150661397,5975.26
27-NOV-2013,6062.7,6074,6030.3,6057.1,124875896,4780.5
28-NOV-2013,6092,6112.95,6068.3,6091.85,195315802,6589.55
29-NOV-2013,6103.9,6182.5,6103.8,6176.1,190711115,5487.36
02-DEC-2013,6171.15,6228.7,6171.15,6217.85,145948276,5294.15
03-DEC-2013,6204.25,6225.4,6191.4,6201.85,156852586,5474.29
04-DEC-2013,6187.95,6209.15,6149.9,6160.95,186169067,5561.95
05-DEC-2013,6262.45,6300.55,6232,6241.1,186060466,7519.34
06-DEC-2013,6234.4,6275.35,6230.75,6259.9,158539890,5692.11
09-DEC-2013,6415,6415.25,6345,6363.9,198285630,8117.57
10-DEC-2013,6354.7,6362.25,6307.55,6332.85,242412856,8646.17
11-DEC-2013,6307.2,6326.6,6280.25,6307.9,148196394,5672.66
12-DEC-2013,6276.75,6286.85,6230.55,6237.05,148533899,5175.39
13-DEC-2013,6201.3,6208.6,6161.4,6168.4,169650657,6403.01
16-DEC-2013,6168.35,6183.25,6146.05,6154.7,146451539,5445.51
17-DEC-2013,6178.2,6190.55,6133,6139.05,154174701,5676.19
18-DEC-2013,6129.95,6236,6129.95,6217.15,243250558,7498.21
19-DEC-2013,6253.9,6263.75,6150.7,6166.65,437039204,9005.49
20-DEC-2013,6179.95,6284.5,6170.35,6274.25,171969981,6359.37
23-DEC-2013,6267.2,6317.5,6266.95,6284.5,131187586,4746.66
24-DEC-2013,6296.45,6301.5,6262,6268.4,107642909,3780.9
26-DEC-2013,6270.1,6302.75,6259.45,6278.9,182310258,6457.23
27-DEC-2013,6292.8,6324.9,6289.4,6313.8,96867388,3797.25
30-DEC-2013,6336.4,6344.05,6273.15,6291.1,101271820,3977.23
31-DEC-2013,6307.35,6317.3,6287.3,6304,103439312,3032.11
